"legacy_url","legacy_title","legacy_word_count","candidate_1_slug","candidate_1_title","candidate_1_score","candidate_2_slug","candidate_2_title","candidate_2_score","candidate_3_slug","candidate_3_title","candidate_3_score","decision","notes"
"https://comint.by/cifrovaya-pechat/bejdzh/","Изготовление и печать бейджей","226","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","1.000","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.667","izgotovlenie-i-pechat-otkrytok","Изготовление и печать открыток","0.667","",""
"https://comint.by/cifrovaya-pechat/bloki-dlya-zapisej-kub-bloki/","Блоки для записей, куб-блоки","44","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","1.000","magnity-i-bloki-dlya-zapisi","Магниты и блоки для записи","0.500","skinali-dlya-kuhni","Скинали для кухни","0.286","",""
"https://comint.by/cifrovaya-pechat/bloknoty/","Изготовление и печать блокнотов с логотипом","371","izgotovlenie-i-pechat-bloknotov-s-logotipom","Изготовление и печать блокнотов с логотипом","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.571","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.571","",""
"https://comint.by/cifrovaya-pechat/broshury/","Печать брошюр","237","pechat-broshyur","Печать брошюр","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/cifrovaya-pechat/buklety/","Рекламные буклеты — печать, изготовление и разработка дизайна","306","reklamnye-buklety-pechat-izgotovlenie-i-dizayn","Рекламные буклеты: печать, изготовление и дизайн","0.727","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.444","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.444","",""
"https://comint.by/cifrovaya-pechat/cenniki/","Печать ценников","250","pechat-tsennikov","Печать ценников","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/cifrovaya-pechat/design-poligrafii/","Дизайн полиграфии","52","dizayn-poligrafii","Дизайн полиграфии","1.000","dizayn-i-proektirovanie-vystavochnyh-stendov","Дизайн и проектирование выставочных стендов","0.333","reklamnye-buklety-pechat-izgotovlenie-i-dizayn","Рекламные буклеты: печать, изготовление и дизайн","0.286","",""
"https://comint.by/cifrovaya-pechat/discount/","Дисконтные карты в Минске","139","diskontnye-karty","Дисконтные карты","0.960","akrilovye-paneli","Акриловые панели","0.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.000","",""
"https://comint.by/cifrovaya-pechat/firmennye-konverty-s-logotipom/","Фирменные конверты с логотипом","103","firmennye-konverty-s-logotipom","Фирменные конверты с логотипом","1.000","firmennye-bumazhnye-pakety-s-logotipom","Фирменные бумажные пакеты с логотипом","0.571","breloki-s-logotipom","Брелоки с логотипом","0.400","",""
"https://comint.by/cifrovaya-pechat/flaery/","Печать флаеров","169","pechat-flaerov","Печать флаеров","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
